Light,Temp,RTC,hour,WeekDay,Event,Day,Minutes,Month
579,24.0,2022-12-01 10:40:00,10,Thursday,0,3,640,12
639,20.7,2022-12-01 12:40:00,12,Thursday,0,3,760,12
601,23.0,2022-12-01 15:50:00,15,Thursday,0,3,950,12
492,20.8,2022-12-01 18:20:00,18,Thursday,0,3,1100,12
493,21.4,2022-12-01 19:00:00,19,Thursday,1,3,1140,12
496,21.6,2022-12-01 21:10:00,21,Thursday,0,3,1270,12
489,23.7,2022-12-01 21:20:00,21,Thursday,1,3,1280,12
472,22.7,2022-12-01 21:40:00,21,Thursday,0,3,1300,12
632,24.9,2022-12-02 11:40:00,11,Friday,0,4,700,12
569,21.3,2022-12-02 16:10:00,16,Friday,0,4,970,12
531,22.4,2022-12-03 13:10:00,13,Saturday,1,5,790,12
529,19.9,2022-12-03 19:40:00,19,Saturday,0,5,1180,12
475,20.9,2022-12-03 20:30:00,20,Saturday,1,5,1230,12
491,22.0,2022-12-03 21:10:00,21,Saturday,0,5,1270,12
497,23.1,2022-12-03 21:30:00,21,Saturday,1,5,1290,12
482,21.8,2022-12-03 21:40:00,21,Saturday,0,5,1300,12
499,22.0,2022-12-03 22:10:00,22,Saturday,1,5,1330,12
609,22.7,2022-12-05 08:40:00,8,Monday,0,0,520,12
650,22.7,2022-12-05 13:10:00,13,Monday,0,0,790,12
637,23.6,2022-12-05 18:40:00,18,Monday,0,0,1120,12
520,21.7,2022-12-05 19:10:00,19,Monday,1,0,1150,12
495,20.9,2022-12-05 20:40:00,20,Monday,0,0,1240,12
492,23.4,2022-12-06 19:00:00,19,Tuesday,1,1,1140,12
480,23.4,2022-12-07 06:20:00,6,Wednesday,0,2,380,12
494,20.2,2022-12-07 06:40:00,6,Wednesday,1,2,400,12
498,23.5,2022-12-08 06:40:00,6,Thursday,0,3,400,12
604,22.2,2022-12-08 07:00:00,7,Thursday,1,3,420,12
617,24.9,2022-12-08 08:00:00,8,Thursday,0,3,480,12
604,22.0,2022-12-08 10:10:00,10,Thursday,0,3,610,12
484,22.9,2022-12-08 11:50:00,11,Thursday,0,3,710,12
470,21.0,2022-12-08 12:50:00,12,Thursday,0,3,770,12
492,23.9,2022-12-08 20:20:00,20,Thursday,0,3,1220,12
475,19.9,2022-12-09 08:50:00,8,Friday,1,4,530,12
479,23.1,2022-12-09 11:30:00,11,Friday,0,4,690,12
617,22.0,2022-12-09 12:10:00,12,Friday,0,4,730,12
576,22.4,2022-12-09 14:20:00,14,Friday,0,4,860,12
556,22.3,2022-12-09 17:10:00,17,Friday,1,4,1030,12
553,23.5,2022-12-09 21:10:00,21,Friday,0,4,1270,12
498,20.7,2022-12-10 07:10:00,7,Saturday,1,5,430,12
489,23.9,2022-12-10 07:20:00,7,Saturday,0,5,440,12
480,19.5,2022-12-10 09:10:00,9,Saturday,1,5,550,12
489,21.0,2022-12-10 09:40:00,9,Saturday,0,5,580,12
494,22.5,2022-12-10 12:50:00,12,Saturday,1,5,770,12
549,22.9,2022-12-10 14:20:00,14,Saturday,0,5,860,12
602,21.2,2022-12-10 14:50:00,14,Saturday,1,5,890,12
527,21.9,2022-12-10 16:10:00,16,Saturday,0,5,970,12
522,19.8,2022-12-11 07:30:00,7,Sunday,1,6,450,12
479,23.5,2022-12-11 07:50:00,7,Sunday,0,6,470,12
480,21.7,2022-12-11 08:20:00,8,Sunday,1,6,500,12
471,23.0,2022-12-11 10:10:00,10,Sunday,0,6,610,12
482,22.7,2022-12-11 11:00:00,11,Sunday,1,6,660,12
477,23.6,2022-12-11 13:50:00,13,Sunday,0,6,830,12
629,20.1,2022-12-11 14:30:00,14,Sunday,1,6,870,12
516,23.5,2022-12-11 18:00:00,18,Sunday,0,6,1080,12
629,22.5,2022-12-11 18:30:00,18,Sunday,1,6,1110,12
502,20.0,2022-12-11 22:20:00,22,Sunday,0,6,1340,12
497,19.8,2022-12-12 07:50:00,7,Monday,1,0,470,12
499,22.6,2022-12-12 09:20:00,9,Monday,0,0,560,12
474,22.3,2022-12-12 10:10:00,10,Monday,0,0,610,12
470,22.1,2022-12-12 10:20:00,10,Monday,0,0,620,12
478,23.1,2022-12-12 12:50:00,12,Monday,0,0,770,12
630,21.1,2022-12-12 14:10:00,14,Monday,0,0,850,12
564,19.8,2022-12-12 16:40:00,16,Monday,0,0,1000,12
534,23.4,2022-12-12 20:10:00,20,Monday,0,0,1210,12
582,19.7,2022-12-12 22:20:00,22,Monday,1,0,1340,12
472,23.8,2022-12-13 10:50:00,10,Tuesday,0,1,650,12
498,20.5,2022-12-13 15:20:00,15,Tuesday,0,1,920,12
471,22.1,2022-12-13 17:40:00,17,Tuesday,0,1,1060,12
477,22.2,2022-12-13 18:40:00,18,Tuesday,1,1,1120,12
537,22.9,2022-12-13 20:20:00,20,Tuesday,0,1,1220,12
607,20.8,2022-12-14 08:00:00,8,Wednesday,1,2,480,12
518,23.6,2022-12-14 11:20:00,11,Wednesday,0,2,680,12
485,21.4,2022-12-14 19:00:00,19,Wednesday,1,2,1140,12
500,22.3,2022-12-14 20:40:00,20,Wednesday,0,2,1240,12
496,21.0,2022-12-16 06:20:00,6,Friday,1,4,380,12
482,20.0,2022-12-16 06:30:00,6,Friday,0,4,390,12
492,22.8,2022-12-16 06:40:00,6,Friday,1,4,400,12
605,21.9,2022-12-16 08:40:00,8,Friday,0,4,520,12
622,22.8,2022-12-16 13:10:00,13,Friday,0,4,790,12
597,21.9,2022-12-16 17:40:00,17,Friday,0,4,1060,12
517,21.9,2022-12-16 20:10:00,20,Friday,1,4,1210,12
472,21.1,2022-12-17 06:40:00,6,Saturday,0,5,400,12
477,23.4,2022-12-17 07:20:00,7,Saturday,1,5,440,12
492,23.3,2022-12-17 11:50:00,11,Saturday,0,5,710,12
490,21.8,2022-12-17 12:10:00,12,Saturday,1,5,730,12
490,20.9,2022-12-17 16:00:00,16,Saturday,0,5,960,12
538,20.0,2022-12-18 07:10:00,7,Sunday,1,6,430,12
586,20.5,2022-12-18 08:40:00,8,Sunday,0,6,520,12
522,21.5,2022-12-18 09:00:00,9,Sunday,1,6,540,12
537,20.8,2022-12-18 11:10:00,11,Sunday,0,6,670,12
483,21.7,2022-12-18 15:50:00,15,Sunday,1,6,950,12
480,21.6,2022-12-18 18:30:00,18,Sunday,0,6,1110,12
497,23.2,2022-12-18 20:40:00,20,Sunday,1,6,1240,12
495,22.0,2022-12-18 22:40:00,22,Sunday,0,6,1360,12
496,21.3,2022-12-19 06:10:00,6,Monday,1,0,370,12
619,21.9,2022-12-19 14:40:00,14,Monday,0,0,880,12
559,21.1,2022-12-19 15:50:00,15,Monday,0,0,950,12
582,21.9,2022-12-19 16:10:00,16,Monday,0,0,970,12
649,20.5,2022-12-20 08:20:00,8,Tuesday,1,1,500,12
483,22.5,2022-12-20 09:10:00,9,Tuesday,0,1,550,12
491,20.2,2022-12-20 15:00:00,15,Tuesday,0,1,900,12
497,21.1,2022-12-20 15:10:00,15,Tuesday,0,1,910,12
481,21.1,2022-12-20 16:10:00,16,Tuesday,0,1,970,12
472,20.1,2022-12-20 17:30:00,17,Tuesday,0,1,1050,12
609,22.4,2022-12-20 19:00:00,19,Tuesday,1,1,1140,12
556,21.1,2022-12-20 21:20:00,21,Tuesday,0,1,1280,12
561,20.5,2022-12-20 22:50:00,22,Tuesday,1,1,1370,12
641,21.4,2022-12-21 09:00:00,9,Wednesday,0,2,540,12
475,23.4,2022-12-21 09:10:00,9,Wednesday,0,2,550,12
493,21.8,2022-12-21 09:40:00,9,Wednesday,0,2,580,12
474,20.8,2022-12-21 10:00:00,10,Wednesday,0,2,600,12
485,20.2,2022-12-21 12:10:00,12,Wednesday,0,2,730,12
484,20.5,2022-12-21 14:00:00,14,Wednesday,0,2,840,12
526,21.9,2022-12-21 15:40:00,15,Wednesday,0,2,940,12
642,21.1,2022-12-21 16:10:00,16,Wednesday,0,2,970,12
549,20.6,2022-12-21 20:00:00,20,Wednesday,0,2,1200,12
557,22.0,2022-12-22 09:20:00,9,Thursday,0,3,560,12
499,21.8,2022-12-22 09:30:00,9,Thursday,0,3,570,12
478,21.4,2022-12-22 09:50:00,9,Thursday,0,3,590,12
479,20.0,2022-12-22 12:10:00,12,Thursday,0,3,730,12
483,21.5,2022-12-22 13:10:00,13,Thursday,0,3,790,12
480,20.6,2022-12-22 13:40:00,13,Thursday,0,3,820,12
627,21.4,2022-12-22 16:10:00,16,Thursday,0,3,970,12
622,24.9,2022-12-22 20:20:00,20,Thursday,0,3,1220,12
525,20.3,2022-12-23 09:20:00,9,Friday,0,4,560,12
541,21.8,2022-12-23 13:20:00,13,Friday,0,4,800,12
470,23.0,2022-12-23 14:10:00,14,Friday,0,4,850,12
482,23.6,2022-12-23 16:30:00,16,Friday,0,4,990,12
474,21.3,2022-12-23 19:20:00,19,Friday,1,4,1160,12
487,20.1,2022-12-23 19:40:00,19,Friday,0,4,1180,12
474,20.8,2022-12-23 20:00:00,20,Friday,1,4,1200,12
569,20.5,2022-12-23 22:10:00,22,Friday,0,4,1330,12
646,20.3,2022-12-23 22:50:00,22,Friday,1,4,1370,12
568,20.5,2022-12-24 15:30:00,15,Saturday,0,5,930,12
570,21.4,2022-12-25 06:10:00,6,Sunday,1,6,370,12
476,21.9,2022-12-25 18:30:00,18,Sunday,0,6,1110,12
489,21.5,2022-12-25 19:10:00,19,Sunday,1,6,1150,12
471,21.9,2022-12-25 19:20:00,19,Sunday,0,6,1160,12
473,22.7,2022-12-25 19:40:00,19,Sunday,1,6,1180,12
580,22.1,2022-12-26 09:10:00,9,Monday,0,0,550,12
571,20.3,2022-12-26 09:30:00,9,Monday,0,0,570,12
592,21.5,2022-12-26 10:20:00,10,Monday,0,0,620,12
540,23.9,2022-12-26 10:30:00,10,Monday,0,0,630,12
493,23.7,2022-12-26 15:00:00,15,Monday,0,0,900,12
500,23.4,2022-12-26 18:40:00,18,Monday,1,0,1120,12
499,23.4,2022-12-26 21:20:00,21,Monday,0,0,1280,12
484,21.8,2022-12-26 22:00:00,22,Monday,1,0,1320,12
594,23.0,2022-12-27 06:40:00,6,Tuesday,0,1,400,12
612,22.3,2022-12-27 07:30:00,7,Tuesday,1,1,450,12
568,22.1,2022-12-27 12:40:00,12,Tuesday,0,1,760,12
571,22.3,2022-12-27 13:40:00,13,Tuesday,0,1,820,12
500,20.1,2022-12-27 16:00:00,16,Tuesday,0,1,960,12
482,22.6,2022-12-27 21:10:00,21,Tuesday,1,1,1270,12
477,23.4,2022-12-27 22:00:00,22,Tuesday,0,1,1320,12
494,21.4,2022-12-29 09:10:00,9,Thursday,0,3,550,12
485,21.6,2022-12-29 10:40:00,10,Thursday,0,3,640,12
591,20.4,2022-12-29 15:50:00,15,Thursday,0,3,950,12
542,23.5,2022-12-29 18:00:00,18,Thursday,0,3,1080,12
628,20.1,2022-12-29 18:30:00,18,Thursday,1,3,1110,12
603,21.3,2022-12-29 19:00:00,19,Thursday,0,3,1140,12
475,21.4,2022-12-29 21:20:00,21,Thursday,1,3,1280,12
484,22.4,2022-12-30 09:20:00,9,Friday,0,4,560,12
480,21.7,2022-12-30 10:40:00,10,Friday,0,4,640,12
475,23.3,2022-12-30 14:10:00,14,Friday,0,4,850,12
516,20.9,2022-12-30 18:10:00,18,Friday,1,4,1090,12
550,21.1,2022-12-30 20:20:00,20,Friday,0,4,1220,12
546,23.7,2022-12-30 20:40:00,20,Friday,1,4,1240,12
